category_id,views,likes,dislikes,comment_total
24,122194,22,12,5
26,414089,20839,521,6595
22,110816,3644,110,719
26,79080,2248,225,395
22,177155,9287,166,881
26,1139838,39393,1607,1519
25,174184,462,86,303
10,723981,50162,1000,4923
10,920080,21350,907,909
22,1749,15,0,9
17,14682,44,50,0
10,5127806,149929,8827,4964
1,496221,7571,521,1215
23,1824481,135734,1086,16234
28,544518,11937,1186,2333
28,1456039,54715,374,4067
23,1009649,9582,917,2779
28,1921063,20278,4008,7615
22,224878,5144,1135,999
24,1202045,34089,604,1055
10,6570611,746023,6687,102758
10,667937,48069,1015,2956
23,3622082,47583,994,4017
10,755108,74326,947,10379
24,921642,22071,1030,9138
22,755399,8424,767,866
1,847140,9325,650,1943
24,134887,549,242,485
10,2889867,222514,3288,23539
24,1578630,63141,1198,8810
23,960930,42549,775,3130
28,15731493,321403,57528,0
24,5854127,361422,22023,54671
28,1262710,42471,2547,8880
15,1937598,42203,836,7351
25,146749,400,458,1018
28,4257519,33617,6882,18323
10,42993,2010,59,189
24,329649,13226,337,2726
24,283060,5432,191,477
17,168353,7105,210,241
10,69042,5742,27,337
10,47369,2137,41,201
24,198260,1170,1325,1106
10,118491,2130,96,505
17,149552,6076,218,521
26,37460,2789,38,250
26,239956,15696,228,1915
10,55165,3312,118,467
22,7706359,659184,50584,199406
24,320296,6445,346,1247
23,677009,3097,755,1405
23,1276245,17804,912,1662
27,92947,4578,580,735
23,2587501,144171,1481,9933
28,3970421,107888,3861,22556
24,21421,166,28,92
23,219193,7936,165,1008
25,517133,14122,1718,2237
10,54377,3602,73,660
25,8418,20,94,59
24,166176,2921,49,404
10,172189,980,10,125
23,1268813,13834,670,1251
24,83356,608,32,70
23,186264,7703,544,1421
26,1360621,85965,1959,14243
22,195726,19447,34,1449
24,131335,11843,65,937
1,71187,390,5,27
10,64584,6610,52,391
22,129102,2432,295,1314
28,545072,25553,585,3016
1,1879131,43783,737,4341
24,139837,299,63,210
24,1704887,31922,1348,5073
24,625573,42524,653,9323
17,170124,2614,68,369
22,22975,22,1,40
10,2453843,104520,7808,7083
24,431464,10379,628,1025
10,30563,192,3,21
24,52532,1340,5,131
19,205267,8686,118,1976
28,868054,24364,976,4644
17,495762,6520,252,2910
10,181104,6500,101,375
10,86623,1924,48,213
23,944026,40807,672,3650
10,78103,387,30,29
22,2782871,203997,1054,16847
28,3572241,86493,9501,22016
10,185529,9801,297,1009
26,686662,35138,321,4762
24,483683,20265,450,1888
2,15681,57,0,9
1,1494086,35533,1135,5328
28,927303,38322,1099,3667
26,21083,1115,18,156
22,1755094,79451,1038,6290
1,496221,7571,521,1215
23,1824481,135734,1086,16234
28,544518,11937,1186,2333
28,1456039,54715,374,4067
23,1009649,9582,917,2779
28,1921063,20278,4008,7615
22,224878,5144,1135,999
24,1202045,34089,604,1055
10,6570611,746023,6687,102758
10,667937,48069,1015,2956
23,3622082,47583,994,4017
10,755108,74326,947,10379
24,921642,22071,1030,9138
22,755399,8424,767,866
1,847140,9325,650,1943
24,134887,549,242,485
10,2889867,222514,3288,23539
24,1578630,63141,1198,8810
23,960930,42549,775,3130
28,15731493,321403,57528,0
24,5854127,361422,22023,54671
28,1262710,42471,2547,8880
15,1937598,42203,836,7351
25,146749,400,458,1018
28,4257519,33617,6882,18323
10,42993,2010,59,189
24,329649,13226,337,2726
24,283060,5432,191,477
17,168353,7105,210,241
10,69042,5742,27,337
10,47369,2137,41,201
24,198260,1170,1325,1106
10,118491,2130,96,505
17,149552,6076,218,521
26,37460,2789,38,250
26,239956,15696,228,1915
10,55165,3312,118,467
22,7706359,659184,50584,199406
24,320296,6445,346,1247
23,677009,3097,755,1405
23,1276245,17804,912,1662
27,92947,4578,580,735
23,2587501,144171,1481,9933
28,3970421,107888,3861,22556
24,21421,166,28,92
23,219193,7936,165,1008
25,517133,14122,1718,2237
10,54377,3602,73,660
25,8418,20,94,59
24,166176,2921,49,404
10,172189,980,10,125
23,1268813,13834,670,1251
24,83356,608,32,70
23,186264,7703,544,1421
26,1360621,85965,1959,14243
22,195726,19447,34,1449
24,131335,11843,65,937
1,71187,390,5,27
10,64584,6610,52,391
22,129102,2432,295,1314
28,545072,25553,585,3016
1,1879131,43783,737,4341
24,139837,299,63,210
24,1704887,31922,1348,5073
24,625573,42524,653,9323
17,170124,2614,68,369
22,22975,22,1,40
10,2453843,104520,7808,7083
24,431464,10379,628,1025
10,30563,192,3,21
24,52532,1340,5,131
19,205267,8686,118,1976
28,868054,24364,976,4644
17,495762,6520,252,2910
10,181104,6500,101,375
10,86623,1924,48,213
23,944026,40807,672,3650
10,78103,387,30,29
22,2782871,203997,1054,16847
28,3572241,86493,9501,22016
10,185529,9801,297,1009
26,686662,35138,321,4762
24,483683,20265,450,1888
2,15681,57,0,9
1,1494086,35533,1135,5328
28,927303,38322,1099,3667
26,21083,1115,18,156
22,1755094,79451,1038,6290
10,165983,7999,124,759
23,1271855,43039,986,1955
10,444082,40292,530,4308
23,180370,14836,247,3052
25,25122,205,29,66
28,1297760,5693,1625,3561
10,213820,5137,743,766
26,648273,28646,845,2352
1,3165464,10556,446,1616
23,96381,3045,458,419
10,18335,269,4,62
1,1985761,78518,1879,3926
22,75427,1558,63,186
